label	id	name	class	pathway_size	genes_found_n	genes_found_frac	genes_found	genes_not_found
1236977 [Imm Sys]	R-HSA-1236977	Endosomal/Vacuolar pathway	Imm Sys	12	12	1	B2M|CTSL|CTSS|CTSV|HLA-A|HLA-B|HLA-C|HLA-E|HLA-F|HLA-G|HLA-H|LNPEP	
380972 [Sig Transd]	R-HSA-380972	Energy dependent regulation of mTOR by LKB1-AMPK	Sig Transd	29	29	1	CAB39|CAB39L|LAMTOR1|LAMTOR2|LAMTOR3|LAMTOR4|LAMTOR5|MLST8|MTOR|PPM1A|PRKAA1|PRKAA2|PRKAB1|PRKAB2|PRKAG1|PRKAG2|PRKAG3|RHEB|RPTOR|RRAGA|RRAGB|RRAGC|RRAGD|SLC38A9|STK11|STRADA|STRADB|TSC1|TSC2	
168275 [Disease]	R-HSA-168275	Entry of Influenza Virion into Host Cell via Endocytosis	Disease	10	2	0.2	CLTA|CLTC	HA|M|NA|NP|NS|PA|PB1|PB2
379398 [Neur Sys]	R-HSA-379398	Enzymatic degradation of Dopamine by monoamine oxidase	Neur Sys	2	2	1	COMT|MAOA	
379397 [Neur Sys]	R-HSA-379397	Enzymatic degradation of dopamine by COMT	Neur Sys	3	3	1	COMT|LRTOMT|MAOA	
3928664 [Dev Biol]	R-HSA-3928664	Ephrin signaling	Dev Biol	19	19	1	ARHGEF7|EFNB1|EFNB2|EFNB3|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|FYN|GIT1|MYL12A|NCK2|PAK1|PAK2|PAK3|RAC1|SDCBP|SRC	
212165 [Gene Expr]	R-HSA-212165	Epigenetic regulation of gene expression	Gene Expr	122	117	0.959016393442623	ACTB|AEBP2|ARID4B|BAZ1B|BAZ2A|CBX3|CCNH|CD3EAP|CDK7|CHD3|CHD4|DDX21|DEK|DNMT1|DNMT3A|DNMT3B|DNMT3L|EED|EHMT2|EP300|ERCC2|ERCC3|ERCC6|EZH2|GATAD2A|GATAD2B|GSK3B|GTF2H1|GTF2H2|GTF2H3|GTF2H4|GTF2H5|H2AFB1|H2AFJ|H2AFV|H2AFX|H2AFZ|H2BFS|H3F3A|HDAC1|HDAC2|HIST1H2AB|HIST1H2AC|HIST1H2AD|HIST1H2AJ|HIST1H2BA|HIST1H2BB|HIST1H2BC|HIST1H2BD|HIST1H2BH|HIST1H2BJ|HIST1H2BK|HIST1H2BL|HIST1H2BM|HIST1H2BN|HIST1H2BO|HIST1H3A|HIST1H4A|HIST2H2AA3|HIST2H2AC|HIST2H2BE|HIST2H3A|HIST3H2BB|JARID2|KAT2A|KAT2B|MBD2|MBD3|MNAT1|MTA1|MTA2|MTA3|MTF2|MYBBP1A|MYO1C|PHF1|PHF19|POLR1A|POLR1B|POLR1C|POLR1D|POLR1E|POLR2E|POLR2F|POLR2H|POLR2K|POLR2L|RBBP4|RBBP7|RRP8|SAP130|SAP18|SAP30|SAP30BP|SAP30L|SF3B1|SIN3A|SIN3B|SIRT1|SMARCA5|SUDS3|SUV39H1|SUZ12|TAF1A|TAF1B|TAF1C|TAF1D|TBP|TDG|TET1|TET2|TET3|TTF1|TWISTNB|UBTF|UHRF1|ZNRD1	18S rRNA, 5.8S rRNA, 28S rRNA|28S rRNA|45S pre-rRNA gene|5.8S rRNA|5S rRNA
1237044 [Transp Sm Mol]	R-HSA-1237044	Erythrocytes take up carbon dioxide and release oxygen	Transp Sm Mol	12	12	1	AQP1|CA1|CA2|CA4|CYB5R1|CYB5R2|CYB5R4|CYB5RL|HBA1|HBB|RHAG|SLC4A1	
1247673 [Transp Sm Mol]	R-HSA-1247673	Erythrocytes take up oxygen and release carbon dioxide	Transp Sm Mol	8	8	1	AQP1|CA1|CA2|CA4|HBA1|HBB|RHAG|SLC4A1	
9027276 [Sig Transd]	R-HSA-9027276	Erythropoietin activates Phosphoinositide-3-kinase (PI3K)	Sig Transd	12	12	1	EPO|EPOR|GAB1|IRS2|JAK2|LYN|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R5	
9027277 [Sig Transd]	R-HSA-9027277	Erythropoietin activates Phospholipase C gamma (PLCG)	Sig Transd	7	7	1	EPO|EPOR|IRS2|JAK2|LYN|PLCG1|PLCG2	
9027284 [Sig Transd]	R-HSA-9027284	Erythropoietin activates RAS	Sig Transd	14	14	1	CRKL|EPO|EPOR|GRB2|HRAS|IRS2|JAK2|KRAS|LYN|NRAS|RAPGEF1|SHC1|SOS1|VAV1	
9027283 [Sig Transd]	R-HSA-9027283	Erythropoietin activates STAT5	Sig Transd	7	7	1	EPO|EPOR|IRS2|JAK2|LYN|STAT5A|STAT5B	
5657562 [Disease]	R-HSA-5657562	Essential fructosuria	Disease	1	1	1	KHK	
5662853 [Disease]	R-HSA-5662853	Essential pentosuria	Disease	1	1	1	DCXR	
2468052 [Cell Cycl]	R-HSA-2468052	Establishment of Sister Chromatid Cohesion	Cell Cycl	11	11	1	CDCA5|ESCO1|ESCO2|PDS5A|PDS5B|RAD21|SMC1A|SMC3|STAG1|STAG2|WAPL	
193144 [Metab]	R-HSA-193144	Estrogen biosynthesis	Metab	6	6	1	AKR1B15|CYP19A1|HSD17B1|HSD17B11|HSD17B14|HSD17B2	
9018519 [Sig Transd]	R-HSA-9018519	Estrogen-dependent gene expression	Sig Transd	122	119	0.975409836065574	AGO1|AGO2|AGO3|AGO4|ATF2|AXIN1|BCL2|CARM1|CBFB|CCND1|CCNT1|CDK9|CHD1|CITED1|CREBBP|CTSD|CXCL12|CXXC5|DDX5|EBAG9|EP300|ERBB4|ESR1|FKBP4|FOS|FOSB|FOXA1|GATA3|GPAM|GREB1|GTF2A1|GTF2A2|GTF2F1|GTF2F2|H2AFB1|H2AFJ|H2AFV|H2AFX|H2AFZ|H2BFS|H3F3A|HDAC1|HIST1H2AB|HIST1H2AC|HIST1H2AD|HIST1H2AJ|HIST1H2BA|HIST1H2BB|HIST1H2BC|HIST1H2BD|HIST1H2BH|HIST1H2BJ|HIST1H2BK|HIST1H2BL|HIST1H2BM|HIST1H2BN|HIST1H2BO|HIST1H3A|HIST1H4A|HIST2H2AA3|HIST2H2AC|HIST2H2BE|HIST2H3A|HIST3H2BB|HSP90AA1|HSP90AB1|JUN|JUND|KANK1|KAT2B|KAT5|KCTD6|KDM1A|KDM4B|KPNA2|MED1|MOV10|MYB|MYC|NCOA1|NCOA2|NCOA3|NR5A2|NRIP1|PGR|POLR2A|POLR2B|POLR2C|POLR2D|POLR2E|POLR2F|POLR2G|POLR2H|POLR2I|POLR2J|POLR2K|POLR2L|POU2F1|PRMT1|PTGES3|RAD21|RUNX1|SMC1A|SMC3|SP1|STAG1|STAG2|TBP|TFF1|TFF3|TGFA|TLE3|TNRC6A|TNRC6B|TNRC6C|USF1|USF2|YY1|ZNF217	MIR26A1|MIR26A2|MIR26B
9634638 [Sig Transd]	R-HSA-9634638	Estrogen-dependent nuclear events downstream of ESR-membrane signaling	Sig Transd	24	24	1	AKT1|AKT2|AKT3|AREG|BCL2|BTC|CCND1|CDKN1B|CREB1|EGF|EGFR|ELK1|EPGN|EREG|FOS|FOXO3|HBEGF|MAPK1|MAPK3|PTK2|SRF|TGFA|UHMK1|XPO1	
9634635 [Sig Transd]	R-HSA-9634635	Estrogen-stimulated signaling through PRKCZ	Sig Transd	6	6	1	HRAS|KRAS|MAPK1|NRAS|PDPK1|PRKCZ	
71384 [Metab]	R-HSA-71384	Ethanol oxidation	Metab	12	12	1	ACSS1|ACSS2|ADH1A|ADH1B|ADH1C|ADH4|ADH5|ADH6|ADH7|ALDH1A1|ALDH1B1|ALDH2	
156842 [Metab Prot]	R-HSA-156842	Eukaryotic Translation Elongation	Metab Prot	99	95	0.95959595959596	EEF1A1|EEF1A1P5|EEF1A2|EEF1B2|EEF1D|EEF1G|EEF2|FAU|RPL10|RPL10A|RPL10L|RPL11|RPL12|RPL13|RPL13A|RPL14|RPL15|RPL17|RPL18|RPL18A|RPL19|RPL21|RPL22|RPL22L1|RPL23|RPL23A|RPL24|RPL26|RPL26L1|RPL27|RPL27A|RPL28|RPL29|RPL3|RPL30|RPL31|RPL32|RPL34|RPL35|RPL35A|RPL36|RPL36A|RPL36AL|RPL37|RPL37A|RPL38|RPL39|RPL39L|RPL3L|RPL4|RPL41|RPL5|RPL6|RPL7|RPL7A|RPL8|RPL9|RPLP0|RPLP1|RPLP2|RPS10|RPS11|RPS12|RPS13|RPS14|RPS15|RPS15A|RPS16|RPS17|RPS18|RPS19|RPS2|RPS20|RPS21|RPS23|RPS24|RPS25|RPS26|RPS27|RPS27A|RPS27L|RPS28|RPS29|RPS3|RPS3A|RPS4X|RPS4Y1|RPS4Y2|RPS5|RPS6|RPS7|RPS8|RPS9|RPSA|UBA52	18S rRNA|28S rRNA|5.8S rRNA|5S rRNA
72613 [Metab Prot]	R-HSA-72613	Eukaryotic Translation Initiation	Metab Prot	124	120	0.967741935483871	EIF1AX|EIF2B1|EIF2B2|EIF2B3|EIF2B4|EIF2B5|EIF2S1|EIF2S2|EIF2S3|EIF3A|EIF3B|EIF3C|EIF3D|EIF3E|EIF3F|EIF3G|EIF3H|EIF3I|EIF3J|EIF3K|EIF3L|EIF3M|EIF4A1|EIF4A2|EIF4B|EIF4E|EIF4EBP1|EIF4G1|EIF4H|EIF5|EIF5B|FAU|PABPC1|RPL10|RPL10A|RPL10L|RPL11|RPL12|RPL13|RPL13A|RPL14|RPL15|RPL17|RPL18|RPL18A|RPL19|RPL21|RPL22|RPL22L1|RPL23|RPL23A|RPL24|RPL26|RPL26L1|RPL27|RPL27A|RPL28|RPL29|RPL3|RPL30|RPL31|RPL32|RPL34|RPL35|RPL35A|RPL36|RPL36A|RPL36AL|RPL37|RPL37A|RPL38|RPL39|RPL39L|RPL3L|RPL4|RPL41|RPL5|RPL6|RPL7|RPL7A|RPL8|RPL9|RPLP0|RPLP1|RPLP2|RPS10|RPS11|RPS12|RPS13|RPS14|RPS15|RPS15A|RPS16|RPS17|RPS18|RPS19|RPS2|RPS20|RPS21|RPS23|RPS24|RPS25|RPS26|RPS27|RPS27A|RPS27L|RPS28|RPS29|RPS3|RPS3A|RPS4X|RPS4Y1|RPS4Y2|RPS5|RPS6|RPS7|RPS8|RPS9|RPSA|UBA52	18S rRNA|28S rRNA|5.8S rRNA|5S rRNA
72764 [Metab Prot]	R-HSA-72764	Eukaryotic Translation Termination	Metab Prot	98	94	0.959183673469388	APEH|ETF1|FAU|GSPT1|GSPT2|N6AMT1|RPL10|RPL10A|RPL10L|RPL11|RPL12|RPL13|RPL13A|RPL14|RPL15|RPL17|RPL18|RPL18A|RPL19|RPL21|RPL22|RPL22L1|RPL23|RPL23A|RPL24|RPL26|RPL26L1|RPL27|RPL27A|RPL28|RPL29|RPL3|RPL30|RPL31|RPL32|RPL34|RPL35|RPL35A|RPL36|RPL36A|RPL36AL|RPL37|RPL37A|RPL38|RPL39|RPL39L|RPL3L|RPL4|RPL41|RPL5|RPL6|RPL7|RPL7A|RPL8|RPL9|RPLP0|RPLP1|RPLP2|RPS10|RPS11|RPS12|RPS13|RPS14|RPS15|RPS15A|RPS16|RPS17|RPS18|RPS19|RPS2|RPS20|RPS21|RPS23|RPS24|RPS25|RPS26|RPS27|RPS27A|RPS27L|RPS28|RPS29|RPS3|RPS3A|RPS4X|RPS4Y1|RPS4Y2|RPS5|RPS6|RPS7|RPS8|RPS9|RPSA|TRMT112|UBA52	18S rRNA|28S rRNA|5.8S rRNA|5S rRNA
8941413 [Imm Sys]	R-HSA-8941413	Events associated with phagocytolytic activity of PMN cells	Imm Sys	2	2	1	LPO|MPO	
168274 [Disease]	R-HSA-168274	Export of Viral Ribonucleoproteins from Nucleus	Disease	39	33	0.846153846153846	AAAS|HSPA1A|NDC1|NUP107|NUP133|NUP153|NUP155|NUP160|NUP188|NUP205|NUP210|NUP214|NUP35|NUP37|NUP43|NUP50|NUP54|NUP58|NUP62|NUP85|NUP88|NUP93|NUP98|NUPL2|POM121|POM121C|RAE1|RAN|RANBP2|SEC13|SEH1L|TPR|XPO1	M|NP|NS|PA|PB1|PB2
9036866 [Sig Transd]	R-HSA-9036866	Expression and Processing of Neurotrophins	Sig Transd	4	4	1	FURIN|NGF|PCSK5|PCSK6	
180786 [Cell Cycl]	R-HSA-180786	Extension of Telomeres	Cell Cycl	30	30	1	DKC1|DNA2|FEN1|LIG1|NHP2|PCNA|POLA1|POLA2|POLD1|POLD2|POLD3|POLD4|POLE|POLE2|POLE3|POLE4|PRIM1|PRIM2|RFC1|RFC2|RFC3|RFC4|RFC5|RPA1|RPA2|RPA3|RUVBL1|RUVBL2|TERT|WRAP53	
1474244 [ECM Org]	R-HSA-1474244	Extracellular matrix organization	ECM Org	296	290	0.97972972972973	A2M|ACAN|ACTN1|ADAM10|ADAM12|ADAM15|ADAM17|ADAM19|ADAM8|ADAM9|ADAMTS1|ADAMTS14|ADAMTS16|ADAMTS18|ADAMTS2|ADAMTS3|ADAMTS4|ADAMTS5|ADAMTS8|ADAMTS9|AGRN|ASPN|BCAN|BGN|BMP1|BMP10|BMP2|BMP4|BMP7|BSG|CAPN1|CAPN10|CAPN11|CAPN12|CAPN13|CAPN14|CAPN15|CAPN2|CAPN3|CAPN5|CAPN6|CAPN7|CAPN8|CAPN9|CAPNS1|CAPNS2|CASK|CASP3|CAST|CD151|CD44|CD47|CDH1|CEACAM1|CEACAM6|CEACAM8|CMA1|COL10A1|COL11A1|COL11A2|COL12A1|COL13A1|COL14A1|COL15A1|COL16A1|COL17A1|COL18A1|COL19A1|COL1A1|COL1A2|COL20A1|COL21A1|COL22A1|COL23A1|COL24A1|COL25A1|COL26A1|COL27A1|COL28A1|COL2A1|COL3A1|COL4A1|COL4A2|COL4A3|COL4A4|COL4A5|COL4A6|COL5A1|COL5A2|COL5A3|COL6A1|COL6A2|COL6A3|COL6A5|COL6A6|COL7A1|COL8A1|COL8A2|COL9A1|COL9A2|COL9A3|COLGALT1|COLGALT2|COMP|CRTAP|CTRB2|CTSB|CTSD|CTSG|CTSK|CTSL|CTSS|CTSV|DAG1|DCN|DDR1|DDR2|DMD|DMP1|DSPP|DST|EFEMP1|EFEMP2|ELN|F11R|FBLN1|FBLN2|FBLN5|FBN1|FBN2|FBN3|FGA|FGB|FGF2|FGG|FMOD|FN1|FURIN|HAPLN1|HSPG2|HTRA1|IBSP|ICAM1|ICAM2|ICAM3|ICAM4|ICAM5|ITGA1|ITGA10|ITGA11|ITGA2|ITGA2B|ITGA3|ITGA4|ITGA5|ITGA6|ITGA7|ITGA8|ITGA9|ITGAD|ITGAE|ITGAL|ITGAM|ITGAV|ITGAX|ITGB1|ITGB2|ITGB3|ITGB4|ITGB5|ITGB6|ITGB7|ITGB8|JAM2|JAM3|KDR|KLK2|KLKB1|LAMA1|LAMA2|LAMA3|LAMA4|LAMA5|LAMB1|LAMB2|LAMB3|LAMC1|LAMC2|LAMC3|LOX|LOXL1|LOXL2|LOXL3|LOXL4|LRP4|LTBP1|LTBP2|LTBP3|LTBP4|LUM|MADCAM1|MATN1|MATN3|MATN4|MFAP1|MFAP2|MFAP3|MFAP4|MFAP5|MMP1|MMP10|MMP11|MMP12|MMP13|MMP14|MMP15|MMP16|MMP17|MMP19|MMP2|MMP24|MMP25|MMP3|MMP7|MMP8|MMP9|MUSK|NCAM1|NCAN|NCSTN|NID1|NID2|NRXN1|NTN4|P3H1|P3H2|P3H3|P4HA1|P4HA2|P4HA3|P4HB|PCOLCE|PCOLCE2|PDGFA|PDGFB|PECAM1|PHYKPL|PLEC|PLG|PLOD1|PLOD2|PLOD3|PPIB|PRKCA|PRSS1|PRSS2|PSEN1|PTPRS|PXDN|SCUBE1|SCUBE3|SDC1|SDC2|SDC3|SDC4|SERPINE1|SERPINH1|SH3PXD2A|SPARC|SPOCK3|SPP1|TGFB1|TGFB2|TGFB3|THBS1|TIMP1|TIMP2|TLL1|TLL2|TMPRSS6|TNC|TNN|TNR|TNXB|TPSAB1|TRAPPC4|TTR|VCAM1|VCAN|VTN	CTRB1|ELANE|GDF5|KLK7|MMP20|OPTC
140834 [Hemost]	R-HSA-140834	Extrinsic Pathway of Fibrin Clot Formation	Hemost	5	5	1	F10|F3|F7|F9|TFPI	
8854050 [Cell Cycl]	R-HSA-8854050	FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	Cell Cycl	55	54	0.981818181818182	AURKA|CUL1|FBXL18|FBXL7|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|PSMF1|RBX1|RPS27A|SEM1|SKP1|UBA52|UBB|UBC	PSMB11
2644605 [Disease]	R-HSA-2644605	FBXW7 Mutants and NOTCH1 in Cancer	Disease	5	5	1	CUL1|FBXW7|NOTCH1|RBX1|SKP1	
2871809 [Imm Sys]	R-HSA-2871809	FCERI mediated Ca+2 mobilization	Imm Sys	107	101	0.94392523364486	AHCYL1|BTK|CALM1|GRAP2|GRB2|IGHE|IGHV1-2|IGHV1-46|IGHV1-69|IGHV2-5|IGHV2-70|IGHV3-11|IGHV3-13|IGHV3-23|IGHV3-30|IGHV3-33|IGHV3-48|IGHV3-53|IGHV3-7|IGHV4-34|IGHV4-39|IGHV4-59|IGHV7-81|IGKC|IGKV1-12|IGKV1-16|IGKV1-17|IGKV1-33|IGKV1-39|IGKV1-5|IGKV1D-12|IGKV1D-16|IGKV1D-33|IGKV1D-39|IGKV2-28|IGKV2-29|IGKV2-30|IGKV2D-28|IGKV2D-30|IGKV2D-40|IGKV3-11|IGKV3-15|IGKV3-20|IGKV3D-20|IGKV4-1|IGKV5-2|IGLC1|IGLC2|IGLC3|IGLC6|IGLC7|IGLV1-36|IGLV1-40|IGLV1-44|IGLV1-47|IGLV1-51|IGLV10-54|IGLV2-11|IGLV2-14|IGLV2-18|IGLV2-23|IGLV2-8|IGLV3-1|IGLV3-12|IGLV3-16|IGLV3-19|IGLV3-21|IGLV3-25|IGLV3-27|IGLV4-3|IGLV4-60|IGLV4-69|IGLV5-37|IGLV5-45|IGLV6-57|IGLV7-43|IGLV7-46|IGLV8-61|ITK|ITPR1|ITPR2|ITPR3|LAT|LCP2|LYN|NFATC1|NFATC2|NFATC3|PLCG1|PLCG2|PPP3CA|PPP3CB|PPP3R1|SHC1|SOS1|SYK|TEC|TXK|VAV1|VAV2|VAV3	IGHV|IGHV3-9|IGLV|IGLV11-55|IGLV2-33|IGLV3-22
2871796 [Imm Sys]	R-HSA-2871796	FCERI mediated MAPK activation	Imm Sys	108	102	0.944444444444444	FOS|GRAP2|GRB2|HRAS|IGHE|IGHV1-2|IGHV1-46|IGHV1-69|IGHV2-5|IGHV2-70|IGHV3-11|IGHV3-13|IGHV3-23|IGHV3-30|IGHV3-33|IGHV3-48|IGHV3-53|IGHV3-7|IGHV4-34|IGHV4-39|IGHV4-59|IGHV7-81|IGKC|IGKV1-12|IGKV1-16|IGKV1-17|IGKV1-33|IGKV1-39|IGKV1-5|IGKV1D-12|IGKV1D-16|IGKV1D-33|IGKV1D-39|IGKV2-28|IGKV2-29|IGKV2-30|IGKV2D-28|IGKV2D-30|IGKV2D-40|IGKV3-11|IGKV3-15|IGKV3-20|IGKV3D-20|IGKV4-1|IGKV5-2|IGLC1|IGLC2|IGLC3|IGLC6|IGLC7|IGLV1-36|IGLV1-40|IGLV1-44|IGLV1-47|IGLV1-51|IGLV10-54|IGLV2-11|IGLV2-14|IGLV2-18|IGLV2-23|IGLV2-8|IGLV3-1|IGLV3-12|IGLV3-16|IGLV3-19|IGLV3-21|IGLV3-25|IGLV3-27|IGLV4-3|IGLV4-60|IGLV4-69|IGLV5-37|IGLV5-45|IGLV6-57|IGLV7-43|IGLV7-46|IGLV8-61|JUN|KRAS|LAT|LCP2|LYN|MAP2K4|MAP2K7|MAP3K1|MAPK1|MAPK10|MAPK3|MAPK8|MAPK9|NRAS|PAK1|PAK2|PLCG1|PLCG2|RAC1|SHC1|SOS1|SYK|VAV1|VAV2|VAV3	IGHV|IGHV3-9|IGLV|IGLV11-55|IGLV2-33|IGLV3-22
2871837 [Imm Sys]	R-HSA-2871837	FCERI mediated NF-kB activation	Imm Sys	157	150	0.955414012738854	BCL10|BTRC|CARD11|CDC34|CHUK|CUL1|FBXW11|IGHE|IGHV1-2|IGHV1-46|IGHV1-69|IGHV2-5|IGHV2-70|IGHV3-11|IGHV3-13|IGHV3-23|IGHV3-30|IGHV3-33|IGHV3-48|IGHV3-53|IGHV3-7|IGHV4-34|IGHV4-39|IGHV4-59|IGHV7-81|IGKC|IGKV1-12|IGKV1-16|IGKV1-17|IGKV1-33|IGKV1-39|IGKV1-5|IGKV1D-12|IGKV1D-16|IGKV1D-33|IGKV1D-39|IGKV2-28|IGKV2-29|IGKV2-30|IGKV2D-28|IGKV2D-30|IGKV2D-40|IGKV3-11|IGKV3-15|IGKV3-20|IGKV3D-20|IGKV4-1|IGKV5-2|IGLC1|IGLC2|IGLC3|IGLC6|IGLC7|IGLV1-36|IGLV1-40|IGLV1-44|IGLV1-47|IGLV1-51|IGLV10-54|IGLV2-11|IGLV2-14|IGLV2-18|IGLV2-23|IGLV2-8|IGLV3-1|IGLV3-12|IGLV3-16|IGLV3-19|IGLV3-21|IGLV3-25|IGLV3-27|IGLV4-3|IGLV4-60|IGLV4-69|IGLV5-37|IGLV5-45|IGLV6-57|IGLV7-43|IGLV7-46|IGLV8-61|IKBKB|IKBKG|LYN|MALT1|MAP3K7|NFKB1|NFKBIA|PDPK1|PRKCQ|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|PSMF1|RASGRP1|RASGRP2|RASGRP4|RELA|RPS27A|SEM1|SKP1|TAB1|TAB2|TAB3|TRAF6|UBA52|UBB|UBC|UBE2D1|UBE2D2|UBE2N|UBE2V1	IGHV|IGHV3-9|IGLV|IGLV11-55|IGLV2-33|IGLV3-22|PSMB11
2029481 [Imm Sys]	R-HSA-2029481	FCGR activation	Imm Sys	94	88	0.936170212765957	CD247|CD3G|FCGR1A|FCGR2A|FCGR3A|FGR|FYN|HCK|IGHG1|IGHG2|IGHG3|IGHG4|IGHV1-2|IGHV1-46|IGHV1-69|IGHV2-5|IGHV2-70|IGHV3-11|IGHV3-13|IGHV3-23|IGHV3-30|IGHV3-33|IGHV3-48|IGHV3-53|IGHV3-7|IGHV4-34|IGHV4-39|IGHV4-59|IGHV7-81|IGKC|IGKV1-12|IGKV1-16|IGKV1-17|IGKV1-33|IGKV1-39|IGKV1-5|IGKV1D-12|IGKV1D-16|IGKV1D-33|IGKV1D-39|IGKV2-28|IGKV2-29|IGKV2-30|IGKV2D-28|IGKV2D-30|IGKV2D-40|IGKV3-11|IGKV3-15|IGKV3-20|IGKV3D-20|IGKV4-1|IGKV5-2|IGLC1|IGLC2|IGLC3|IGLC6|IGLC7|IGLV1-36|IGLV1-40|IGLV1-44|IGLV1-47|IGLV1-51|IGLV10-54|IGLV2-11|IGLV2-14|IGLV2-18|IGLV2-23|IGLV2-8|IGLV3-1|IGLV3-12|IGLV3-16|IGLV3-19|IGLV3-21|IGLV3-25|IGLV3-27|IGLV4-3|IGLV4-60|IGLV4-69|IGLV5-37|IGLV5-45|IGLV6-57|IGLV7-43|IGLV7-46|IGLV8-61|LYN|SRC|SYK|YES1	IGHV|IGHV3-9|IGLV|IGLV11-55|IGLV2-33|IGLV3-22
190242 [Sig Transd]	R-HSA-190242	FGFR1 ligand binding and activation	Sig Transd	16	14	0.875	ANOS1|FGF1|FGF10|FGF17|FGF2|FGF20|FGF22|FGF23|FGF4|FGF5|FGF8|FGF9|FGFR1|KL	FGF3|FGF6
1839124 [Disease]	R-HSA-1839124	FGFR1 mutant receptor activation	Disease	31	30	0.967741935483871	BAG4|BCR|CNTRL|CPSF6|CUX1|ERLIN2|FGF1|FGF17|FGF2|FGF20|FGF23|FGF4|FGF5|FGF8|FGF9|FGFR1|FGFR1OP|FGFR1OP2|GAB2|GRB2|LRRFIP1|MYO18A|PIK3CA|PIK3R1|STAT1|STAT3|STAT5A|STAT5B|TRIM24|ZMYM2	FGF6
190370 [Sig Transd]	R-HSA-190370	FGFR1b ligand binding and activation	Sig Transd	6	5	0.833333333333333	FGF1|FGF10|FGF2|FGF22|FGFR1	FGF3
190374 [Sig Transd]	R-HSA-190374	FGFR1c and Klotho ligand binding and activation	Sig Transd	3	3	1	FGF23|FGFR1|KL	
190373 [Sig Transd]	R-HSA-190373	FGFR1c ligand binding and activation	Sig Transd	12	11	0.916666666666667	ANOS1|FGF1|FGF17|FGF2|FGF20|FGF23|FGF4|FGF5|FGF8|FGF9|FGFR1	FGF6
6803529 [Sig Transd]	R-HSA-6803529	FGFR2 alternative splicing	Sig Transd	28	26	0.928571428571429	ESRP1|ESRP2|GTF2F1|GTF2F2|HNRNPA1|HNRNPF|HNRNPH1|HNRNPM|NCBP1|NCBP2|POLR2A|POLR2B|POLR2C|POLR2D|POLR2E|POLR2F|POLR2G|POLR2H|POLR2I|POLR2J|POLR2K|POLR2L|PTBP1|RBFOX2|TIA1|TIAL1	FGFR2b|FGFR2c
190241 [Sig Transd]	R-HSA-190241	FGFR2 ligand binding and activation	Sig Transd	20	16	0.8	FGF1|FGF10|FGF17|FGF18|FGF2|FGF20|FGF22|FGF23|FGF4|FGF5|FGF7|FGF8|FGF9|FGFBP2|FGFBP3|FGFR2	FGF16|FGF3|FGF6|FGFBP1
1839126 [Disease]	R-HSA-1839126	FGFR2 mutant receptor activation	Disease	33	30	0.909090909090909	FGF1|FGF10|FGF17|FGF18|FGF2|FGF20|FGF22|FGF23|FGF4|FGF5|FGF7|FGF8|FGF9|FGFR2|GTF2F1|GTF2F2|NCBP1|NCBP2|POLR2A|POLR2B|POLR2C|POLR2D|POLR2E|POLR2F|POLR2G|POLR2H|POLR2I|POLR2J|POLR2K|POLR2L	FGF16|FGF3|FGF6
190377 [Sig Transd]	R-HSA-190377	FGFR2b ligand binding and activation	Sig Transd	10	8	0.8	FGF1|FGF10|FGF2|FGF22|FGF7|FGFBP2|FGFBP3|FGFR2	FGF3|FGFBP1
190375 [Sig Transd]	R-HSA-190375	FGFR2c ligand binding and activation	Sig Transd	13	11	0.846153846153846	FGF1|FGF17|FGF18|FGF2|FGF20|FGF23|FGF4|FGF5|FGF8|FGF9|FGFR2	FGF16|FGF6
190239 [Sig Transd]	R-HSA-190239	FGFR3 ligand binding and activation	Sig Transd	13	12	0.923076923076923	FGF1|FGF17|FGF18|FGF2|FGF20|FGF23|FGF4|FGF5|FGF8|FGF9|FGFR3|GALNT3	FGF16
2033514 [Disease]	R-HSA-2033514	FGFR3 mutant receptor activation	Disease	12	11	0.916666666666667	FGF1|FGF17|FGF18|FGF2|FGF20|FGF23|FGF4|FGF5|FGF8|FGF9|FGFR3	FGF16
190371 [Sig Transd]	R-HSA-190371	FGFR3b ligand binding and activation	Sig Transd	7	7	1	FGF1|FGF17|FGF18|FGF20|FGF8|FGF9|FGFR3	
