gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
HPSE2	147172	933	2	307359	89886	0	4	0	0	41	41	2980509	5.271671e-01	1
IKZF2	55860	1226	19	276474	66243	0	6	2	0	11	13	1103340	5.271934e-01	1
YPEL4	923511	354	15	67166	17182	0	1	0	0	50	79	3777058	5.272072e-01	1
IFNA16	193208	498	-3	95779	26057	0	1	0	0	50	71	3659127	5.273760e-01	1
TCTEX1D1	335045	692	-16	94785	23643	0	2	1	0	31	36	1761652	5.275083e-01	1
ELL2	316216	247	51	329724	89247	0	4	2	0	50	70	4047639	5.281114e-01	1
TPBG	131014	486	-3	200575	68444	0	5	1	0	50	83	4541941	5.282332e-01	1
RGS9BP	380440	455	-45	109553	41251	0	6	1	0	50	79	3953209	5.284251e-01	1
LZIC	757819	183	29	102311	24850	0	2	1	0	50	92	4542012	5.284362e-01	1
PITPNM3	255838	313	8	494444	144769	0	8	1	0	25	23	2320777	5.284538e-01	1
YTHDF3	137401	619	7	297135	80514	0	9	3	0	10	17	794064	5.284798e-01	1
CCL4	744143	565	28	48280	13277	0	1	0	0	50	82	4773259	5.285452e-01	1
NUDT5	328303	227	34	118428	29820	0	2	2	0	11	15	566154	5.286532e-01	1
EP300	1167197	154	42	1229933	338812	0	27	4	0	2	5	477901	5.292052e-01	1
WISP3	159324	296	16	192694	49487	0	2	0	0	50	49	3066064	5.292829e-01	1
ZHX1	545561	171	22	439419	119919	0	6	2	0	50	55	4028256	5.292886e-01	1
TOP2B	216871	636	-6	853420	212858	0	11	3	0	14	28	2222868	5.293421e-01	1
LRIG3	21039	678	-29	583407	160389	0	17	4	0	34	46	2504809	5.293976e-01	1
PARP15	419536	311	44	358905	99471	0	5	3	0	10	17	1117753	5.294724e-01	1
OR10G3	707623	533	22	150449	49984	0	3	0	0	15	40	1677659	5.295281e-01	1
CENPI	426524	NaN	26	402144	99045	0	5	0	0	13	15	1372714	5.295424e-01	1
RASL10A	849693	251	36	98619	33867	0	5	2	0	9	14	825730	5.295648e-01	1
CCL17	749108	159	39	49203	14058	0	1	0	0	50	62	3664381	5.295649e-01	1
KIF13B	333305	417	42	938620	262487	0	22	8	0	9	12	762185	5.298495e-01	1
LIPM	NaN	NaN	NaN	221733	56445	0	3	1	0	50	159	7963289	5.301327e-01	1
RNF44	607190	318	49	216834	68373	0	4	0	0	50	53	3456635	5.301915e-01	1
LRIG1	82885	629	14	550960	163868	0	18	5	0	19	27	1490787	5.302037e-01	1
ZAP70	358719	582	36	318435	87969	0	7	1	0	8	5	537754	5.302381e-01	1
FARSA	1886809	335	40	261848	74053	0	9	4	0	36	59	2518938	5.304252e-01	1
TAS2R38	198115	856	-6	164507	49771	0	4	0	0	50	84	4189639	5.304668e-01	1
WDR5B	416095	478	34	164862	46647	0	3	0	0	50	50	3234121	5.306105e-01	1
ART5	537999	403	23	145621	44375	0	4	1	0	43	70	3559372	5.306253e-01	1
GOLT1B	518837	836	-23	72562	19667	0	1	0	0	50	48	3338775	5.306547e-01	1
C6orf163	NaN	NaN	NaN	173950	40754	0	3	0	0	50	158	7947598	5.306950e-01	1
DAAM1	156241	405	32	567787	142994	0	7	1	0	12	18	1352763	5.307023e-01	1
CHST8	487426	623	-26	208740	65391	0	8	1	0	33	36	2276047	5.308158e-01	1
SLC22A24	NaN	NaN	NaN	276971	82999	0	3	1	0	50	159	7989843	5.308542e-01	1
TMEM117	140202	874	-1	268309	66740	0	2	0	0	50	47	4149453	5.308558e-01	1
DERA	328516	534	10	164862	45795	0	4	1	0	50	59	3814901	5.308816e-01	1
CDH7	4645	524	-49	399801	111399	0	13	3	0	36	66	2720436	5.312348e-01	1
VAC14	857297	299	26	400156	115517	0	14	4	0	14	27	1102701	5.312494e-01	1
ACAD9	1117839	382	54	320920	91022	0	11	4	0	36	76	3074939	5.312689e-01	1
THOC6	1443513	234	49	178210	51404	0	6	0	0	50	75	3780040	5.313804e-01	1
OLFM4	207557	842	2	257233	72704	0	3	2	0	50	65	4143418	5.314234e-01	1
C12orf29	152325	507	-27	172317	41109	0	3	0	0	50	69	4832686	5.314853e-01	1
RCVRN	63518	366	-41	104015	26128	0	2	0	0	50	59	4032658	5.314968e-01	1
APRT	813333	189	51	89744	29749	0	1	0	0	50	85	4109764	5.314974e-01	1
PROK1	403650	479	31	54102	15762	0	1	0	0	50	47	3815540	5.315505e-01	1
GPR52	NaN	NaN	NaN	179772	51972	0	6	3	0	8	17	834960	5.318348e-01	1
OLFM1	199862	446	28	241897	63119	0	12	4	0	7	17	708367	5.318479e-01	1
TRIM40	1932849	486	48	118215	32163	0	3	1	0	50	93	4044444	5.319549e-01	1
GJB7	222729	596	22	113955	30033	0	1	0	0	50	66	4337532	5.320267e-01	1
LIFR	159760	271	-2	570556	147254	0	8	2	0	50	58	4136602	5.320547e-01	1
GLO1	280153	845	28	98903	23572	0	2	1	0	30	58	3206715	5.321723e-01	1
APBB1	424837	471	17	359189	106216	0	9	0	0	2	2	273279	5.322582e-01	1
ID3	1050775	159	32	59143	19241	0	2	0	0	50	76	3637259	5.322885e-01	1
PADI3	490967	168	38	342859	95282	0	5	2	0	16	18	1021406	5.323409e-01	1
CELF3	1210719	255	29	243388	65888	0	9	2	0	43	58	2728814	5.323732e-01	1
GPR148	626077	372	11	165714	57084	0	2	1	0	50	42	4470941	5.324116e-01	1
NCOR1	954548	370	-18	1247825	350314	0	24	6	0	17	22	1722176	5.324331e-01	1
TLR4	58763	944	-8	422308	116156	0	5	2	0	50	85	4617982	5.325580e-01	1
TSPAN16	1385739	197	31	124747	37559	0	1	0	0	50	79	4433595	5.326547e-01	1
SMC5	196227	395	-11	582839	141787	0	13	1	0	4	8	513046	5.327051e-01	1
EDN2	220093	381	32	89957	28258	0	2	0	0	50	63	4256947	5.327371e-01	1
AFAP1L2	303560	299	6	422592	116085	0	4	2	0	50	57	4625295	5.327419e-01	1
GPR146	765060	346	34	158401	55451	0	5	1	0	12	21	1019560	5.330084e-01	1
ZNF33A	139504	916	-19	424509	97767	0	3	0	0	43	53	3839396	5.330520e-01	1
FHL3	445132	232	42	146047	37772	0	3	1	0	50	75	3574850	5.332225e-01	1
MOGAT2	528291	418	45	169264	48848	0	9	1	0	4	12	331002	5.333136e-01	1
ACAD8	270350	623	21	214846	59924	0	4	0	0	12	5	790798	5.333547e-01	1
GUCA1B	524386	273	43	105151	25844	0	2	1	0	18	29	1222407	5.334763e-01	1
KCND2	49438	962	7	315098	92371	0	7	1	0	50	79	5197484	5.335121e-01	1
TNKS2	333272	331	15	601299	166566	0	9	1	0	4	2	447584	5.336107e-01	1
GPIHBP1	1104860	446	20	93720	27477	0	2	1	0	50	70	4521493	5.336889e-01	1
LRRFIP2	392784	376	27	387163	97199	0	7	2	0	4	7	423870	5.336890e-01	1
RANBP1	503106	277	64	107565	25773	0	1	0	0	50	69	3445701	5.337608e-01	1
CPEB1	567143	566	19	290461	81863	0	6	1	0	50	52	3698177	5.338385e-01	1
ABCD3	459824	348	-8	354432	92655	0	5	2	0	50	70	4542012	5.338851e-01	1
TLN2	315754	568	15	1294401	377436	0	31	11	0	12	28	1622421	5.339241e-01	1
CYSLTR2	404943	430	46	171465	50694	0	3	1	0	50	78	4688911	5.339978e-01	1
B4GALT3	728669	234	37	193262	63616	0	6	1	0	33	52	2811174	5.339979e-01	1
TLR6	316028	437	75	405055	105080	0	4	3	0	50	57	3650110	5.340730e-01	1
KCTD10	434920	420	38	161170	45014	0	2	0	0	50	74	4400154	5.342142e-01	1
WNT7A	422569	498	34	176861	49345	0	5	0	0	50	54	3665162	5.342823e-01	1
KDSR	201946	278	77	171465	48990	0	4	0	0	43	69	3763710	5.345182e-01	1
NAT8B	978005	466	31	110263	35855	0	3	1	0	50	90	4428767	5.348322e-01	1
MYB	150100	410	32	394831	104867	0	9	2	0	50	82	4309700	5.348476e-01	1
RPS6KA1	901637	184	32	401931	115872	0	9	3	0	29	83	3754267	5.348766e-01	1
CAMK2B	1467518	412	65	348255	98193	0	10	3	0	50	81	3247753	5.349148e-01	1
OR5V1	329776	872	7	158898	47073	0	3	1	0	50	79	4376866	5.350532e-01	1
HRH1	181134	226	35	243459	69225	0	4	0	0	21	25	1560012	5.351831e-01	1
OR4D9	430021	507	-1	153005	47854	0	3	1	0	50	67	4236286	5.351888e-01	1
TTC31	1019591	315	50	263978	79378	0	8	1	0	50	90	4354927	5.355515e-01	1
NDUFA4	142078	1098	-11	43878	11076	0	1	0	0	50	121	5592386	5.356496e-01	1
NR1D1	1573630	202	28	342788	91306	0	13	0	0	6	10	582342	5.358624e-01	1
TULP4	669285	403	41	763605	234087	0	22	5	0	6	7	674926	5.358778e-01	1
TPRA1	682035	336	42	201356	46150	0	7	2	0	7	13	522489	5.359768e-01	1
POLR2C	760307	159	42	145763	37843	0	6	2	0	7	16	730661	5.360792e-01	1
MED27	593548	566	29	161170	44588	0	2	0	0	50	78	4087612	5.363116e-01	1
ZNF70	610486	266	30	228123	58362	0	7	2	0	35	75	2958570	5.364637e-01	1
ZNF879	NaN	NaN	NaN	291739	72065	0	4	0	0	27	39	2602434	5.366975e-01	1
SCG5	244857	383	1	110689	29678	0	1	0	0	50	71	5261171	5.367551e-01	1
TMEM213	352046	385	7	56090	15904	0	1	0	0	50	43	3710744	5.367848e-01	1
RAB5C	2150553	206	33	112180	30743	0	5	2	0	38	92	3176824	5.368730e-01	1
FAM166B	1108352	300	27	110973	32376	0	2	0	0	50	53	3724021	5.369173e-01	1
ATP6V0E1	489007	309	40	44020	11360	0	1	0	0	50	67	3456990	5.369331e-01	1
GLG1	499497	209	36	630480	161880	0	12	3	0	12	16	1019702	5.369644e-01	1
ACOT13	421216	362	24	73272	21513	0	1	0	0	50	62	3969823	5.370374e-01	1
AMY2B	31276	974	-19	267812	68302	0	3	0	0	50	71	4853702	5.371906e-01	1
POLR1E	523221	234	35	220384	57794	0	6	0	0	42	82	3342396	5.371935e-01	1
JUP	1760409	175	35	375377	113245	0	11	2	0	50	83	4181119	5.372658e-01	1
IQCC	1460758	218	29	274699	78668	0	7	0	0	21	24	1644644	5.372852e-01	1
LYPD3	368705	182	-29	170045	55096	0	4	3	0	19	35	1948879	5.373777e-01	1
DPH1	1415256	294	27	225425	68941	0	6	2	0	6	7	454045	5.373968e-01	1
MATN3	501661	150	25	246512	71071	0	4	3	0	34	56	2889132	5.374585e-01	1
PHF1	1441897	236	31	303738	71142	0	7	1	0	50	75	3961374	5.377549e-01	1
TMLHE	272469	NaN	-2	242394	62835	0	3	0	0	28	42	2726329	5.379320e-01	1
PANX1	367552	774	-16	215840	60421	0	3	2	0	50	76	3230855	5.379363e-01	1
C2orf68	1158965	170	43	85768	23927	0	2	2	0	7	7	306294	5.380377e-01	1
ZUFSP	247712	479	10	304022	73627	0	6	2	0	32	39	2624373	5.380760e-01	1
ZNF836	460879	901	-41	480670	120203	0	9	5	0	50	59	3728210	5.382331e-01	1
CA2	100997	1460	-18	136036	35855	0	2	0	0	46	48	3782596	5.383721e-01	1
WNT2	331093	392	5	184813	49274	0	3	0	0	31	34	2995774	5.385395e-01	1
MAP3K15	222229	NaN	38	678618	184884	0	13	2	0	16	19	1545528	5.385790e-01	1
PFN3	1038665	261	59	65462	23572	0	4	0	0	50	121	4667540	5.387479e-01	1
NR4A3	280636	538	8	331215	99045	0	7	2	0	50	85	4680746	5.389818e-01	1
NUP205	521421	326	14	1038446	284071	0	31	7	0	7	17	855337	5.390412e-01	1
CDH2	43239	931	-16	462778	129575	0	7	3	0	19	33	1670062	5.391456e-01	1
AIF1L	829407	293	36	95921	22294	0	2	0	0	50	102	5332597	5.396997e-01	1
MR1	201966	253	23	175867	47357	0	2	0	0	50	37	3822924	5.397481e-01	1
TEX11	615286	NaN	4	514892	120274	0	9	1	0	16	30	1559941	5.397942e-01	1
ARG2	481915	260	42	179417	53392	0	5	1	0	12	15	903688	5.398188e-01	1
ALPPL2	307666	204	37	266818	82715	0	6	2	0	50	66	3261385	5.398640e-01	1
TTC25	1969457	191	28	317015	81082	0	7	2	0	50	71	4142921	5.398927e-01	1
L3MBTL3	68020	844	23	415563	101388	0	6	1	0	22	29	2124462	5.399813e-01	1
HEATR6	972352	235	18	597110	174802	0	16	3	0	22	36	1825907	5.400307e-01	1
ANO2	349024	712	13	522489	137598	0	11	2	0	50	83	4640489	5.401164e-01	1
C6orf203	214917	417	22	127232	33370	0	2	0	0	50	63	3948168	5.401433e-01	1
CORO7	754886	161	41	468103	146615	0	10	2	0	47	63	3819800	5.401489e-01	1
TNFAIP3	315946	256	51	404771	107494	0	8	4	0	18	23	1578472	5.403002e-01	1
SULT1C4	361799	483	-2	161880	36849	0	3	0	0	13	18	1385636	5.403585e-01	1
OIP5	897414	237	24	115446	35358	0	3	0	0	34	59	2192409	5.404618e-01	1
GLCCI1	179344	405	24	271149	84987	0	5	2	0	50	60	4041462	5.406007e-01	1
UBE2D2	641116	244	39	79591	20093	0	1	0	0	50	103	5199046	5.406256e-01	1
EBNA1BP2	1068006	294	30	190990	48848	0	5	0	0	29	56	2506371	5.407291e-01	1
GAPT	125347	446	5	79236	21726	0	2	0	0	50	77	3299654	5.409798e-01	1
RBM19	198554	673	11	500976	133551	0	19	5	0	21	40	1620433	5.410437e-01	1
OXGR1	111002	623	-10	168128	48706	0	3	0	0	50	63	4198514	5.410507e-01	1
VWA5B1	NaN	NaN	NaN	612233	182683	0	18	5	0	50	163	8089527	5.411367e-01	1
RALY	873171	398	61	155632	47357	0	2	0	0	50	67	4166919	5.411454e-01	1
FGFBP3	355265	331	24	122972	43381	0	2	0	0	50	66	4310268	5.411666e-01	1
SOX6	126866	989	-18	444460	117221	0	11	0	0	5	3	381696	5.412239e-01	1
ABCE1	189309	1139	32	317938	80585	0	4	0	0	14	19	1583300	5.412658e-01	1
WTAP	643775	604	19	206752	53321	0	2	1	0	50	54	3993821	5.412829e-01	1
ANAPC16	764632	140	40	56445	17040	0	1	0	0	50	61	4201993	5.412992e-01	1
HMSD	114875	671	26	73272	18744	0	1	0	0	50	54	3920691	5.413572e-01	1
DCAF4L2	26672	994	-27	193333	60137	0	5	2	0	44	89	3912171	5.415274e-01	1
INCA1	1407967	231	28	122546	34009	0	1	0	0	50	83	4335828	5.415355e-01	1
ESM1	205256	603	13	95069	25276	0	2	0	0	50	63	3815895	5.416992e-01	1
ANP32E	1207965	197	39	144627	32376	0	2	1	0	6	5	457382	5.417456e-01	1
CD9	2261351	277	32	121765	30530	0	3	1	0	50	96	4833893	5.417606e-01	1
CLPTM1	1003719	196	6	343498	96134	0	11	2	0	50	72	3413609	5.418125e-01	1
PRB1	175992	673	-18	160602	54528	0	1	0	0	4	6	844900	5.419294e-01	1
HACL1	433102	235	32	302886	80727	0	7	1	0	50	65	3890942	5.419712e-01	1
KRTAP4-7	NaN	NaN	NaN	78952	20732	0	2	0	0	50	158	7927576	5.420017e-01	1
MAGEH1	140844	NaN	-23	108417	32163	0	3	0	0	50	92	4760834	5.420286e-01	1
BDNF	380275	534	-24	183890	50623	0	7	2	0	9	10	463062	5.422736e-01	1
ADRA1A	259233	692	3	276190	83780	0	7	2	0	50	81	4058573	5.423968e-01	1
PEX11A	880974	190	35	124037	36565	0	1	0	0	50	90	4444742	5.424028e-01	1
CCNJL	197942	448	33	218183	65533	0	6	1	0	50	99	5214169	5.424181e-01	1
DPPA2	22565	1096	-19	157833	40044	0	1	0	0	46	45	3391244	5.424593e-01	1
STX2	218767	440	-19	168838	41393	0	3	0	0	38	66	3105398	5.424846e-01	1
BLZF1	286300	491	7	205687	56516	0	3	0	0	15	18	1213248	5.425907e-01	1
BMF	884609	226	39	98193	22578	0	2	0	0	50	81	4220240	5.427208e-01	1
CD34	320873	450	22	195463	60776	0	3	0	0	46	83	4709359	5.427897e-01	1
PI4K2B	218037	523	28	250701	64965	0	5	2	0	44	53	3574495	5.429076e-01	1
ZFPM2	46151	998	-25	585537	156981	0	21	5	0	13	26	1073094	5.429385e-01	1
CRYGA	321897	440	5	90454	23927	0	2	0	0	41	46	2992153	5.429736e-01	1
CDCA4	854493	205	30	119209	37133	0	3	0	0	50	82	5096380	5.430327e-01	1
MMRN1	39671	703	-11	623877	167844	0	9	1	0	6	9	698853	5.430336e-01	1
PEX5	1322142	267	27	336043	96134	0	7	1	0	8	7	677766	5.430523e-01	1
TRIM55	277437	480	30	298058	80017	0	3	0	0	24	13	2065035	5.432938e-01	1
LMOD2	86849	536	-10	275338	76538	0	4	0	0	14	14	1144378	5.434117e-01	1
SNTN	155962	905	-12	77248	20306	0	3	1	0	3	16	399588	5.434195e-01	1
MYH13	83322	731	-47	1017927	254748	0	16	2	0	19	30	2365578	5.434622e-01	1
TLK2	316879	370	-2	397884	99897	0	3	1	0	39	45	3526215	5.434665e-01	1
APC	247811	399	28	1431573	398523	0	22	1	0	4	4	645319	5.434948e-01	1
PSG2	263820	178	-32	170045	49345	0	1	0	0	50	54	3933400	5.437384e-01	1
WDR25	410676	215	23	272143	81224	0	10	3	0	21	27	1313926	5.438150e-01	1
MC4R	44259	929	3	165643	47570	0	2	0	0	50	52	4393835	5.438956e-01	1
SLC39A6	365879	399	35	390784	102524	0	7	2	0	50	50	3994602	5.439620e-01	1
PQLC3	491115	255	25	103944	30885	0	2	0	0	50	55	3715004	5.440545e-01	1
VSTM1	798576	338	-46	126167	32092	0	3	1	0	50	71	3716850	5.440835e-01	1
CHRNA6	594393	454	34	252121	68870	0	2	1	0	22	11	1947175	5.441189e-01	1
RETN	688482	384	31	56090	16117	0	3	1	0	8	14	523554	5.441196e-01	1
ENHO	843127	370	55	36991	12212	0	1	0	0	50	65	3249528	5.441538e-01	1
DIO2	47674	533	-44	155135	45937	0	4	0	0	50	93	4237706	5.442513e-01	1
BIRC5	683401	191	24	107707	23714	0	2	0	0	50	108	4778513	5.442775e-01	1
PLCL1	627125	907	10	555291	149313	0	8	2	0	50	45	4349815	5.442909e-01	1
INTS8	430887	389	38	523980	134616	0	9	3	0	17	22	1792608	5.443922e-01	1
ORMDL2	1909014	256	38	77816	22933	0	1	0	0	50	100	4644607	5.444147e-01	1
BMP7	207872	617	-21	220526	60634	0	9	2	0	7	11	681032	5.445392e-01	1
PLOD2	118043	471	-12	400795	100394	0	4	0	0	5	4	811743	5.445845e-01	1
MRPL47	397411	520	10	131847	34080	0	1	1	0	50	68	3797364	5.445903e-01	1
LRRN2	401240	221	35	338954	117292	0	8	2	0	50	62	3343603	5.446133e-01	1
IL32	1626425	234	44	101885	25276	0	2	2	0	16	29	1086726	5.446651e-01	1
EPB41L2	122847	707	17	520075	138947	0	13	7	0	17	29	1137065	5.446948e-01	1
NCOA6	1006385	170	47	1024814	305158	0	19	9	0	34	48	2562958	5.447323e-01	1
DHX8	1124329	147	20	626078	173311	0	7	2	0	50	49	3433347	5.448975e-01	1
ODF3	1233553	437	17	129149	38908	0	2	0	0	44	35	3226737	5.450011e-01	1
QPRT	NaN	NaN	NaN	143704	49700	0	3	0	0	50	158	7956544	5.450200e-01	1
ZNF829	308757	976	-38	267812	66172	0	2	0	0	50	73	4082713	5.450714e-01	1
OR2T12	18846	936	-35	156768	48138	0	3	0	0	50	59	3990768	5.452533e-01	1
SULT1C2	361432	609	-10	175583	41251	0	4	0	0	3	2	217757	5.453637e-01	1
TAF15	620019	235	8	309347	82786	0	5	1	0	50	49	4876564	5.453975e-01	1
ATP13A5	141358	851	1	635024	168199	0	11	3	0	28	41	2661364	5.454174e-01	1
SULT1E1	9735	1009	4	158969	35500	0	1	1	0	50	71	4530581	5.455023e-01	1
ARHGAP28	241496	281	-28	323334	84348	0	8	0	0	3	10	623593	5.455624e-01	1
PAIP1	482851	434	19	247009	68231	0	3	1	0	50	49	3249315	5.455772e-01	1
SNX16	156346	680	6	180482	45937	0	3	1	0	50	96	5166244	5.457955e-01	1
TRIP11	336377	375	30	1030281	251979	0	12	2	0	4	2	505520	5.460201e-01	1
TBC1D10A	622382	211	50	257659	74834	0	6	2	0	50	71	3735239	5.462087e-01	1
SRM	577167	408	34	157265	42742	0	3	0	0	50	52	4299547	5.463693e-01	1
TRIM59	435184	513	16	206539	52469	0	3	0	0	41	53	3758953	5.464279e-01	1
INSIG2	190880	537	8	114878	32944	0	2	0	0	50	90	5160635	5.466051e-01	1
PCDHB16	915569	724	-11	374312	122191	0	4	0	0	26	24	2874080	5.467116e-01	1
ZFPL1	3267059	207	46	155348	49345	0	4	0	0	50	65	4085056	5.468248e-01	1
ARHGAP6	65396	NaN	34	505946	152863	0	10	2	0	17	29	1808583	5.468930e-01	1
GPRC5A	719556	169	17	177358	53960	0	4	0	0	50	70	4126946	5.470057e-01	1
RAD1	241905	675	21	147112	37985	0	2	0	0	50	56	4070714	5.472443e-01	1
KIF24	596029	186	43	688700	196315	0	10	5	0	26	37	2405409	5.472943e-01	1
CSTF2	341945	NaN	21	294508	86336	0	3	1	0	33	39	3393090	5.473055e-01	1
ZNF577	435461	817	-45	249423	64539	0	7	0	0	6	6	386169	5.473298e-01	1
ZFP36L1	543449	259	46	164649	52824	0	4	0	0	11	20	1158152	5.475507e-01	1
INSL5	335045	692	-16	69580	18602	0	1	1	0	31	36	1761652	5.475864e-01	1
ENPP6	256949	424	-5	225851	61912	0	5	2	0	25	37	1903510	5.477757e-01	1
ATP6V1B1	504483	623	25	264830	75118	0	6	1	0	50	74	4156127	5.478235e-01	1
CPT1B	1073094	203	43	401434	108701	0	9	3	0	26	60	2041889	5.478672e-01	1
PEF1	1093701	197	37	143207	42316	0	2	1	0	50	77	3683693	5.479062e-01	1
GNG3	2425755	248	51	39618	10437	0	1	0	0	50	85	3990271	5.479139e-01	1
GLCE	367968	218	35	313252	84206	0	7	2	0	50	75	3736091	5.480727e-01	1
TMED2	987941	424	47	103873	27761	0	2	1	0	50	110	5219068	5.481331e-01	1
PEX26	516479	239	27	151798	47996	0	2	1	0	28	26	1803968	5.481478e-01	1
SEC23A	314158	376	-7	398168	107494	0	6	0	0	8	6	607618	5.482998e-01	1
CBLN3	897133	265	40	97696	35642	0	4	1	0	15	59	2165358	5.483821e-01	1
SH2D5	634204	208	34	210515	68089	0	6	1	0	50	86	4039687	5.484009e-01	1
SF3B5	321795	374	17	44588	11005	0	1	0	0	50	76	5113917	5.485006e-01	1
C1orf50	820426	426	30	102808	28826	0	2	1	0	50	72	4516168	5.488050e-01	1
RESP18	NaN	NaN	NaN	119138	32305	0	4	2	0	8	16	815293	5.488414e-01	1
RAPGEF6	314836	627	30	913912	235436	0	17	2	0	3	5	513046	5.488497e-01	1
PPP2R1B	436031	242	25	346054	98903	0	8	4	0	2	6	331286	5.489805e-01	1
DVL2	1782958	316	21	369981	112890	0	8	1	0	42	48	2960487	5.490343e-01	1
THSD7B	11902	824	-16	816571	213710	0	23	6	0	9	15	836806	5.492838e-01	1
VGLL3	55913	332	-18	165075	46434	0	2	0	0	45	44	3573998	5.493027e-01	1
PRPF38A	815523	448	26	166140	41535	0	3	0	0	50	64	4680249	5.493213e-01	1
PLEK	208260	586	23	185878	45227	0	4	2	0	8	5	573396	5.496503e-01	1
LHX5	444269	468	25	202066	58859	0	9	3	0	4	7	354503	5.496849e-01	1
SGCB	114535	815	8	165714	42813	0	6	2	0	9	23	747843	5.496983e-01	1
HMGCS2	420500	581	22	258156	75189	0	8	0	0	4	3	290035	5.497289e-01	1
RIMKLA	573046	574	22	196173	57723	0	5	1	0	50	57	3656003	5.497471e-01	1
ZMAT2	774470	356	31	109198	23288	0	1	0	0	50	82	4145548	5.497959e-01	1
IFRD1	166238	412	-4	236359	61841	0	6	2	0	10	16	680748	5.498797e-01	1
ART1	537999	403	23	162874	50126	0	2	0	0	50	76	4476337	5.498927e-01	1
TESK1	1202125	248	37	302815	105506	0	7	2	0	9	5	595548	5.499143e-01	1
TTC9C	2415432	248	47	86833	24779	0	2	0	0	50	77	4119136	5.499244e-01	1
WDR83	1975767	409	1	162448	47996	0	3	0	0	22	41	2309133	5.499656e-01	1
PGR	23389	962	-25	456530	146260	0	24	5	0	9	25	1056480	5.500274e-01	1
ZNF121	706527	642	-58	201640	49913	0	2	0	0	40	56	5296458	5.500460e-01	1
SERGEF	645462	595	17	236572	66101	0	3	1	0	18	19	1504419	5.500589e-01	1
MIER3	201203	393	41	290816	71284	0	5	2	0	15	21	998047	5.500883e-01	1
COX6B1	1162794	390	27	47783	10366	0	1	0	0	50	72	4113527	5.501262e-01	1
HEXIM1	806811	207	32	178991	51049	0	6	1	0	50	83	4437216	5.503302e-01	1
SRR	780080	271	29	172743	51120	0	3	1	0	50	88	4562957	5.504825e-01	1
INPP5E	1413299	233	44	317512	102311	0	16	4	0	16	31	1465582	5.505503e-01	1
PPP1R1B	1164935	239	28	107707	28400	0	1	0	0	50	75	3772727	5.506024e-01	1
NLN	407983	149	33	367141	93578	0	7	0	0	17	16	1192090	5.506033e-01	1
GATM	465759	445	4	219106	58646	0	7	1	0	12	16	912492	5.506391e-01	1
PCK1	181790	562	-4	319784	85981	0	7	1	0	25	29	1703645	5.506519e-01	1
NNMT	162422	499	-4	133338	38127	0	3	1	0	50	88	4278034	5.507747e-01	1
GTPBP4	338115	407	30	335120	84703	0	5	0	0	33	40	3321025	5.508630e-01	1
ACTC1	521214	306	-1	192481	54173	0	4	1	0	50	104	4658807	5.509625e-01	1
NCOA3	266824	287	49	740743	194114	0	12	2	0	30	37	2547480	5.510545e-01	1
CORO6	719319	383	30	241613	68728	0	10	3	0	15	22	956725	5.511827e-01	1
OR10S1	107524	830	-5	160602	51546	0	3	0	0	36	48	2644750	5.512613e-01	1
ASPRV1	844060	221	37	166850	52966	0	4	2	0	50	61	3491638	5.513866e-01	1
PRPF4	426351	312	26	272853	72846	0	4	1	0	37	40	2539528	5.516003e-01	1
CPXCR1	1148	NaN	-19	153431	40399	0	2	0	0	50	67	4421525	5.516058e-01	1
MKKS	166085	252	-14	284426	83425	0	14	3	0	4	14	481664	5.516621e-01	1
OR4D2	851306	401	14	148958	47641	0	3	0	0	50	64	3613900	5.517456e-01	1
OR13C9	147494	920	-31	158543	45085	0	2	0	0	50	63	3992188	5.517579e-01	1
MTM1	287123	NaN	16	316873	81011	0	6	3	0	29	32	2028896	5.518090e-01	1
VKORC1L1	404213	365	30	87614	27619	0	2	0	0	50	67	4035285	5.519699e-01	1
IPO13	875223	214	39	489403	142781	0	8	1	0	29	27	2223862	5.519748e-01	1
EPB41	619053	227	30	455181	119067	0	5	3	0	24	34	1997798	5.519908e-01	1
ARMCX6	329999	NaN	8	150946	41393	0	2	0	0	9	10	1186481	5.520548e-01	1
ITLN1	1048810	583	27	164365	42245	0	6	0	0	25	38	1649330	5.520778e-01	1
TAF1D	290677	527	0	146757	35784	0	1	1	0	50	70	3957966	5.521242e-01	1
MDGA1	359430	461	50	478753	145763	0	16	4	0	20	41	2428839	5.521637e-01	1
SGPP2	283423	596	13	196386	62409	0	5	2	0	4	6	367638	5.521759e-01	1
JAK1	269434	396	-5	607192	151301	0	10	3	0	8	9	698001	5.522196e-01	1
POLH	1221714	194	46	361106	103660	0	11	1	0	9	10	596968	5.522198e-01	1
ADA	801801	171	42	190777	51191	0	5	2	0	44	70	3597144	5.523314e-01	1
SDC1	532338	320	37	152650	49487	0	2	1	0	50	76	4122473	5.523983e-01	1
CARD16	NaN	NaN	NaN	107494	27122	0	2	0	0	50	158	7933966	5.524311e-01	1
UVRAG	520479	503	32	359118	100110	0	12	0	0	1	0	159395	5.524906e-01	1
CEACAM21	1044508	451	31	149952	43026	0	3	1	0	50	98	4044515	5.525678e-01	1
ZNF283	464802	286	11	354290	83212	0	4	0	0	50	71	4579926	5.525909e-01	1
